value,thetas,thetaPrime,PnL,capitalGains
900035.4020962184,900035.4020962184,0.0,-4809.599231879644,0.0
901494.1119913816,901494.1119913816,0.0,1458.7098951632247,0.0
880530.2988214155,880530.2988214155,0.0,-20963.813169966106,0.0
886937.1379837567,886937.1379837567,0.0,6406.839162341257,0.0
867303.7064560059,867303.7064560059,0.0,-19633.43152775084,0.0
863824.8643055565,863824.8643055565,0.0,-3478.842150449452,0.0
859359.3467262158,859359.3467262158,0.0,-4465.517579340694,0.0
860495.1191054938,860495.1191054938,0.0,1135.772379277945,0.0
860971.6455398175,860971.6455398175,0.0,476.52643432372463,0.0
847877.131234719,847877.131234719,0.0,-13094.514305098572,0.0
831519.5881213956,831519.5881213956,0.0,-16357.543113323381,0.0
841246.5980011534,841246.5980011534,0.0,9727.009879757888,0.0
837768.5295528513,837768.5295528513,0.0,-3478.0684483021378,0.0
828022.3686716212,828022.3686716212,0.0,-9746.160881230102,0.0
845331.3089467953,845331.3089467953,0.0,17308.940275174158,0.0
844492.9050313027,844492.9050313027,0.0,-838.4039154926403,0.0
860472.0999457567,860472.0999457567,0.0,15979.194914454003,0.0
838860.6477190926,838860.6477190926,0.0,-21611.452226664147,0.0
852197.2832600557,852197.2832600557,0.0,13336.635540963154,0.0
839494.4342707907,839494.4342707907,0.0,-12702.848989265045,0.0
830091.7163645187,830091.7163645187,0.0,-9402.717906271928,0.0
822669.4042980887,822669.4042980887,0.0,-7422.3120664299795,0.0
808333.9969966152,808333.9969966152,0.0,-14335.407301473495,0.0
812114.222410393,812114.222410393,0.0,3780.2254137777295,0.0
822147.4694145048,822147.4694145048,0.0,10033.247004111909,0.0
829872.3889914899,829872.3889914899,0.0,7724.9195769850685,0.0
813573.2512436752,813573.2512436752,0.0,-16299.13774781461,0.0
824586.6848833038,824586.6848833038,0.0,11013.433639628574,0.0
822438.6946135728,822438.6946135728,0.0,-2147.990269731066,0.0
818647.4382566772,818647.4382566772,0.0,-3791.2563568955316,0.0
815186.6425358276,815186.6425358276,0.0,-3460.7957208496514,0.0
830977.4011329572,830977.4011329572,0.0,15790.758597129652,0.0
847948.8272515497,847948.8272515497,0.0,16971.426118592484,0.0
854363.4023649287,854363.4023649287,0.0,6414.575113379091,0.0
846601.2711230519,846601.2711230519,0.0,-7762.131241876812,0.0
857626.789254307,857626.789254307,0.0,11025.518131255152,0.0
870295.0425432976,870295.0425432976,0.0,12668.253288990583,0.0
851993.7406275216,851993.7406275216,0.0,-18301.301915775955,0.0
855435.948933631,855435.948933631,0.0,3442.20830610933,0.0
854267.2409806009,854267.2409806009,0.0,-1168.7079530299695,0.0
872192.4194028373,872192.4194028373,0.0,17925.17842223631,0.0
860488.4475501146,860488.4475501146,0.0,-11703.971852722714,0.0
869849.1723261193,869849.1723261193,0.0,9360.724776004658,0.0
873284.1212748748,873284.1212748748,0.0,3434.948948755565,0.0
877704.3181820794,877704.3181820794,0.0,4420.196907204555,0.0
876860.9906628813,876860.9906628813,0.0,-843.3275191980277,0.0
879634.4885466219,879634.4885466219,0.0,2773.497883740622,0.0
869915.6892206656,869915.6892206656,0.0,-9718.799325956259,0.0
882877.5106632793,882877.5106632793,0.0,12961.82144261375,0.0
884662.2332332929,884662.2332332929,0.0,1784.7225700136491,0.0
894658.7608899246,894658.7608899246,0.0,9996.527656631688,0.0
885273.238267689,885273.238267689,0.0,-9385.522622235627,0.0
899973.4750561405,899973.4750561405,0.0,14700.23678845141,0.0
897477.9877054434,897477.9877054434,0.0,-2495.487350697008,0.0
914078.7778980448,914078.7778980448,0.0,16600.790192601435,0.0
925077.0809721702,925077.0809721702,0.0,10998.303074125399,0.0
920274.177370407,920274.177370407,0.0,-4802.903601763137,0.0
912512.0058070236,912512.0058070236,0.0,-7762.171563383437,0.0
910345.2259154201,910345.2259154201,0.0,-2166.779891603541,0.0
913441.6106431799,913441.6106431799,0.0,3096.384727759742,0.0
932976.9107346938,932976.9107346938,0.0,19535.300091513844,0.0
955134.3680712545,955134.3680712545,0.0,22157.457336560663,0.0
956247.1661058709,956247.1661058709,0.0,1112.7980346164368,0.0
949190.366893989,949190.366893989,0.0,-7056.79921188184,0.0
952943.0936872567,952943.0936872567,0.0,3752.7267932676264,0.0
959988.380106671,959988.380106671,0.0,7045.286419414285,0.0
954516.0588945288,954516.0588945288,0.0,-5472.321212142196,0.0
951350.9322671742,951350.9322671742,0.0,-3165.1266273545407,0.0
952795.7617560553,952795.7617560553,0.0,1444.8294888810328,0.0
968720.970858594,968720.970858594,0.0,15925.209102538722,0.0
962264.059845018,962264.059845018,0.0,-6456.91101357613,0.0
954493.9180743172,954493.9180743172,0.0,-7770.141770700758,0.0
